,title,category,text
13,宮崎容疑者 逮捕に協会が謝罪,スポーツ, ハンドボール元日本代表の宮崎大輔39が名古屋市内のホテルで知人女性に暴力を振るったとし愛知県警に逮捕されたと報道されたことを受け日本ハンドボール協会は2日リリースで声明を発表し皆様にご迷惑ご心配をおかけしておりますことに深くおわび申し上げますと謝罪した 日本協会は事実関係を確認中だというがスポーツ選手に限らず暴力行為は決して許されるものではありませんましてや長年日本のハンドボール界をけん引してきた選手後進の見本となるべき選手の暴力行為が仮に事実とすれば極めて遺憾に思いますとした 宮崎は日本代表では長年エースとして活躍してきた第一人者で世界トップレベルのスペイン1部リーグでもプレー経験があるテレビ番組スポーツマンNo1決定戦では3度の総合優勝を誇るなど知名度を高めた昨年4月には日体大に再入学しハンドボール部に在籍来夏の東京五輪出場を目指し今年6月には右肩を手術したことを公表していた 宮崎大輔みやざきだいすけ1981年6月6日大分県大分市出身大分明野北小でハンドボールを始めた03年に日本代表入りし0910年はスペイン1部のアルコベンダスでプレー19年3月に大崎電気を退団し日体大に3年で再入学した174センチ75キロ
14,北海道で96人感染 過去最多,地域, 道内で過去最多となる96人の新型コロナウイルスの感染が確認されました 道内では2日96人の新型コロナウイルスの感染が確認され1日の感染者数としては過去最多となりました このうち札幌市の感染者は83人でこちらも1日の感染者数としては1日の59人を上回り過去最多となっていますHTB北海道テレビ
15,京口紘人が陽性 世界戦中止に,スポーツ, ボクシングWBA世界ライトフライ級スーパー王者の京口紘人26ワタナベと50代のチーフセコンドが新型コロナウイルス感染症のPCR検査で陽性判定を受け3日にインテックス大阪で予定されていた挑戦者同級10位タノンサックシムシー20タイとの3度目の防衛戦が中止となったことが2日発表された日本で世界戦が前日に中止となるのは史上初2人に症状はないという この日大阪市内で両陣営が調印を済ませ前日計量上限489キロで京口488キロタノンサックシムシーが487キロでともに1回目でパスしていた 京口は結果を聞いた際非常に落胆した様子だったという同日午後4時44分に自身のツイッターに本当にごめんなさいと投稿した中止を聞いたタノンサックは涙を流していたという 今回陽性が判明した京口とチーフセコンド以外の関係者は陰性だったため防衛戦のカードを除いて興行を開催することはできる状況だったがワタナベジムの渡辺会長は慎重を期するため興行の中止を決めたまたタノンサックが日本に滞在できる期間である12月31日までに京口タノンサックの同じカードで事実上の延期開催をできるように目指す考えを示した この試合は新型コロナウイルス感染拡大後では世界で初めて海外から選手を招いて有観客で行う世界戦として注目されていたワタナベジムによるとスポーツ庁からは延期となった東京五輪の参考モデルケースになるような成功を期待されていたという
16,外来ザリガニ 飼育・販売NGに,国内, アメリカザリガニを除く外来種のザリガニ全種が特定外来生物に指定され飼育や販売が2日から原則禁止となった 逃げたり捨てられたりした場合生態系に悪影響を及ぼす恐れがあるため一方アメリカザリガニは飼育している人が多く指定すると野外への遺棄が懸念され今回は対象から外れた 特定外来生物は生態系や人の生命身体農林水産業に被害を及ぼす恐れのある外来種で強い毒を持つ南米原産のヒアリなどが指定されている 
17,燕 近藤ら7投手に戦力外通告,スポーツ,山田大や風張平井らにも通告 ヤクルトは2日近藤一樹投手山田大樹投手田川賢吾投手風張蓮投手平井諒投手山中浩史投手育成選手のジュリアス投手の計7選手に来季の契約を結ばないことを伝えたと発表した 2001年のドラフト7位で近鉄に指名されて入団した近藤球団合併に伴う分配ドラフトでオリックスへと移籍すると2008年には先発として2桁10勝をマークした2016年途中にトレードでヤクルトに移籍すると2018年には74試合に登板して35ホールドをマーク最優秀中継ぎ投手のタイトルを獲得した 近藤はNPB所属の現役選手で数少ない近鉄戦士今季限りでその1人である岩隈久志投手が現役引退を発表し残るは近藤とヤクルトのチームメートである坂口智隆外野手の2人になっていたFullCount編集部
18,1年生だらけ野球部 選抜有力,スポーツ, 1年生だらけのチームが躍動した高校野球の秋季中国大会決勝が1日島根県立浜山球場であり1年生主体の下関国際山口2位は広島新庄広島1位に2―3で競り負けて準優勝だったが来春の選抜大会出場を有力にした 2018年夏の甲子園で8強入りした下関国際今秋は部員41人中31人が1年生が占めるベンチ入り18人のうち1年生が14人2年生は4人しかいない 先発メンバーには準決勝で先頭打者本塁打を放った1番賀谷勇斗ら6人の1年生が名を連ねるそして彼らをまとめる主将も1年生の山下世虎せとらだ 主将は一つのポジションだと思っている学年の枠にとらわれず全体を考えた時に彼に資質があると思ったと坂原秀尚監督2年生捕手の守優雅もりまさみには4番も任せておりこれ以上の負担は試合に影響すると考えた そこで監督は寮の食事や洗濯などで率先してチームメートを引っ張っていた山下に目をつけた 山下はびっくりした最初は気まずかったけど勝つために自分が言っていかないとと話す背番号4をつけているが県大会からここまで代打や守備固めなど出場は全て途中からだ 試合中盤までは三塁コーチとして打者や走者に積極的に声をかけ大きくジェスチャーする練習でも上級生に強く出ることもあるけどチームが勝つための自分の役割なのでそんな山下の背中を見て2年生も刺激を受けた 守は1年生が主将を務めることについて最初はふがいないと思ったでも主将じゃなくてもみんなで引っ張っていけばいいと考えるようになったという準決勝で好投した左腕古賀康誠やこの日先発した松尾勇汰2番手で背番号1の仲井慎は1年生若い投手陣をもり立てようと守は走者を出すたびにこまめにマウンドに歩み寄り間を取った 県大会決勝では4失策するなど守備の乱れも多く坂原監督は若さゆえでしょう練習でできても試合になかなか結びつかなかった時間も足りなかったと振り返るそれが中国大会では4試合で2失策選手たちは夜間も毎日ノックを受け続け徐々に自信をつけてきた 主将の山下は自分たちはまだ体が細いこの冬しっかり体作りをしたい一冬越して選抜でどんな姿を見せてくれるかさらに夏には――若いチームの伸びしろは計り知れない大坂尚子朝日新聞社
19,東京で87人感染 重症者は32人,国内, 東京都によると2日に都が確認した新型コロナウイルスの感染者は87人だった先月19日の78人以来2週間ぶりに100人を下回った重症の患者は前の日から2人減って32人となった 感染が確認されたのは10歳未満から80代の男女87人年代別にみると20代が最も多い25人で次いで30代が19人40代が14人50代が7人重症化リスクが高い65歳以上の高齢者は13人だったANNニュース
20,1年生だらけ野球部 選抜確実,スポーツ, 1年生だらけのチームが躍動した高校野球の秋季中国大会決勝が1日島根県立浜山球場であり1年生主体の下関国際山口2位は広島新庄広島1位に2―3で競り負けて準優勝だったが来春の選抜大会出場を有力にした 2018年夏の甲子園で8強入りした下関国際今秋は部員41人中31人が1年生が占めるベンチ入り18人のうち1年生が14人2年生は4人しかいない 先発メンバーには準決勝で先頭打者本塁打を放った1番賀谷勇斗ら6人の1年生が名を連ねるそして彼らをまとめる主将も1年生の山下世虎せとらだ 主将は一つのポジションだと思っている学年の枠にとらわれず全体を考えた時に彼に資質があると思ったと坂原秀尚監督2年生捕手の守優雅もりまさみには4番も任せておりこれ以上の負担は試合に影響すると考えた そこで監督は寮の食事や洗濯などで率先してチームメートを引っ張っていた山下に目をつけた 山下はびっくりした最初は気まずかったけど勝つために自分が言っていかないとと話す背番号4をつけているが県大会からここまで代打や守備固めなど出場は全て途中からだ 試合中盤までは三塁コーチとして打者や走者に積極的に声をかけ大きくジェスチャーする練習でも上級生に強く出ることもあるけどチームが勝つための自分の役割なのでそんな山下の背中を見て2年生も刺激を受けた 守は1年生が主将を務めることについて最初はふがいないと思ったでも主将じゃなくてもみんなで引っ張っていけばいいと考えるようになったという準決勝で好投した左腕古賀康誠やこの日先発した松尾勇汰2番手で背番号1の仲井慎は1年生若い投手陣をもり立てようと守は走者を出すたびにこまめにマウンドに歩み寄り間を取った 県大会決勝では4失策するなど守備の乱れも多く坂原監督は若さゆえでしょう練習でできても試合になかなか結びつかなかった時間も足りなかったと振り返るそれが中国大会では4試合で2失策選手たちは夜間も毎日ノックを受け続け徐々に自信をつけてきた 主将の山下は自分たちはまだ体が細いこの冬しっかり体作りをしたい一冬越して選抜でどんな姿を見せてくれるかさらに夏には――若いチームの伸びしろは計り知れない大坂尚子朝日新聞社
21,橋封鎖も 選挙前に米国で緊張,国際, ニューヨーク村山誠3日の米大統領選投開票日を前に共和党のトランプ大統領と民主党のジョーバイデン前副大統領が最終盤の追い込みをかける中米国内では両候補支持者の衝突や混乱に乗じた暴動が起きかねないとして緊張が高まっている1日にはトランプ氏の支持者の車列がニューヨーク州の橋を一時封鎖するなどの混乱が起きた 米NBCテレビなどによるとニュージャージーニューヨーク州などの高速道路で1日トランプ2020米国を再び偉大になどと書いた旗を掲げた数百台の車列が減速運転や一時停止を繰り返しながら示威行動を展開し周辺では大渋滞が起きた 米CNNによるとトランプ氏の支持者によるこうした活動は全米各地に広がっているテキサス州の高速道路では10月30日移動中だったバイデン陣営の選挙運動用バスを100台近いトランプ氏支持者の車列が追跡の末に取り囲み警察が出動する事態となった 首都ワシントンやニューヨークなどでは破壊や略奪を懸念する店舗が投開票当日の不測の事態に備え窓に板を張り付けるなどの作業を進めている
22,川重 鉄道車両事業も分社化,経済, 川崎重工業神戸市中央区は2日二輪車事業を2021年10月に分社化すると正式に発表した鉄道車両事業も同時期に分社化するまた造船とプラントの両事業を21年4月に統合するいずれも同日発表した中長期的な経営指針グループビジョン2030に盛り込んだ橋本康彦社長が午後1時半から東京都内で会見し詳細を説明している
23,都構想 再否決も厳しい市財政,国内, 大阪都構想が平成27年に続いて再び住民投票で否決され政令指定都市大阪市の存続が決まった全国で2番目に狭い大阪府の中心にあり経済機能が集積する大阪市はまんじゅうのあんこといわれ戦前から府との間で再編論争が繰り広げられてきた前回の住民投票後に発足した府市の会議体も対立の末に頓挫した経緯がありあんこ論争が再燃すれば大阪の発展は望むべくもない 1日夜の自民党大阪府連本部府連会長の大塚高司衆院議員は記者会見で特別区設置を議論する間に他府県に後れを取った大阪と関西の伸びしろを伸ばさなくてはいけないと危機感を示した 5年後の大阪関西万博については松井一郎市長吉村洋文知事と連携し必ず成功するよう努力すると強調した 市議団の北野妙子幹事長も都構想が議論された10年間を振り返り対立の構図で進んできた話し合いで解決すべくしっかりやっていきたいと語った ■繰り返す再編論争 都構想否決を受け反対派の自民党は歩み寄りの姿勢をみせたが決して“視界良好”とはいえない大阪の成長をめぐる大都市制度論争は再燃と沈静を繰り返してきた 昭和18年の東京都誕生に先立ち人口が全国最多の市に成長して大だい大阪と呼ばれた大阪市11年前の7年に府から独立させる大阪都制案が提唱され22年施行の地方自治法が規定した特別市をめぐっては独立を目指す大阪市に府が反発し実現しなかった 31年の政令市制度創設などを経て大阪市はあんこの市域府は市域外まんじゅうの皮を所管する構図が確立だが府市の二重行政は解消されず平成15年には府市合併を伴う大阪新都構想を主張する太田房江知事と政令市の権限強化を目指す磯村隆文市長がぶつかった 自民府連が重視する話し合いも蹉跌さてつの過去がある都構想の対案とされた大阪戦略調整会議は運営方法などをめぐり大阪維新の会と自民が対立27年9月の開催を最後に昨年廃止された27年当時橋下徹市長は何も決められないポンコツ会議だとこき下ろした ■市の財政運営課題 2度の住民投票を経て存続が決まった大阪市を取り巻く状況は厳しい 国立社会保障人口問題研究所は令和22年の人口は現在より約20万人少ない約249万人と推計税収減が避けられず財政運営も課題だ1人当たりの市債残高平成30年度は70万8千円で政令市平均65万5千円より5万円以上高い通常の収入に占める義務的経費の割合を示す経常収支比率同も969政令市平均961で理想とされる7080を大幅に超えている 内閣府などによると維新が大阪府知事と大阪市長の座を独占してきた2429年度の大阪市の実質経済成長率平均値は09で国の13を下回っている都構想が廃案となった今府市一体で成長戦略を実行するための起爆剤が求められている吉国在尾崎豪一
24,第3波か 愛知県知事が危機感,地域,中京テレビNEWS 愛知県で新型コロナウイルスの感染者が再び急増していることを受け2日大村秀章知事は明らかにステージは変わったのではと受け止めて事実上第3波がきたのではないかと受け止めていますと危機感を示しました 愛知県では先月31日1日あたりの感染者の数が8月21日以来の90人を超え直近1週間の新規感染者の数が平均58人となっていて大村知事は警戒感を強めました 新たに豊橋市の接待を伴う飲食店で22人の感染が相次ぎ確認されたほか犬山市での会食でも23人が確認されるなど2つのクラスターが発生しているということです 大村知事は入院患者などが増加傾向にあるとも話し引き続き感染拡大防止対策の徹底などを呼びかけています中京テレビNEWS
25,紀平梨花 トヨタ自動車に入社,スポーツ, フィギュアスケート女子の紀平梨花が11月1日付けでトヨタ自動車に入社したことが2日分かった同社が発表した 紀平は今シーズンからトヨタ自動車にお世話になることが決まり大変嬉しく思います現在スイスを拠点に練習しておりフィギュアスケートは海外の試合も多いため世界各国に広がるトヨタファミリーの方々に応援いただけることはとても心強く皆様とコミュニケーションが図れることをとても楽しみにしています このたび仲間として受け入れていただけるトヨタ自動車に感謝しつつ人としても成長できるよう精一杯頑張ります今後ともよろしくお願い致しますとコメントした 同社は96年の長野五輪でゴールドスポンサーに就任以降オリンピックをサポート現在トヨタには宇野昌磨が所属過去には安藤美姫小塚崇彦が所属していた
26,安倍氏 今後も改憲に取り組む,国内, 安倍晋三前首相は2日山口県庁を訪れ出迎えた職員らに憲法改正をはじめやり残した仕事もある今後は一議員として残した課題に取り組みたいとあいさつした 自身が進めた地方創生にも触れまだまだ道半ばだと強調山口県出身の国会議員として地域の再生にも全力で取り組むと語った 安倍氏は1日9月の首相辞任後初めて地元の山口県に入り2日は長門市役所も訪問した3日まで県内で過ごす
27,否決で今後の大阪は 市民の声,地域,関西テレビ大阪市を廃止し4つの特別区に再編するいわゆる大阪都構想の住民投票は反対多数で否決されました一夜明け市民からは今後の大阪について考える声が多く聞かれました1日行われた住民投票は開票の結果約1万7000票差で反対が賛成を上回りました5年前に続き2度目の否決となり大阪市は存続することになりました大阪維新の会代表松井一郎 大阪市長政治家としてはけじめをつけないといけません市長の任期をもって僕の政治家の任期を終了したいと思います一夜明け大阪市民は大阪市民維新になってから大阪が進歩したと思いますだからとても残念です自民党も協力して大阪を良くするように頑張って欲しいと思います大阪市民直前になっての反対の方の巻き返しがすごかったそこの結果が出たのかな万博の誘致に成功しながら見届けることなく退任されることになると思うのでそこは見て頂いた方が良かったかな個人的には責任の取り方は辞める以外にも方法があるのかなと大阪市民二重行政に対して考えるチャンスはもらったと思うので否決されたうえでそれをどう良い風に進めていくのか大阪市民としてはまだ松井さんがまだ市長されるからどうしていってくれるのか楽しみ半分不安半分大阪市役所の職員は大阪市役所職員10年20年と大阪の将来を見据えて仕事が出来るということで職員としても引き続き市民のために頑張っていこうと思っています大阪市役所職員複雑ではありますけど今の行政がそのまま残るのかというとでもそれは結果をもとに新たに改善されていく部分も増えていくのではないか関西テレビ
28,ウィリアム王子4月に陽性判定,国際,イギリス王室のケンブリッジ公爵ウィリアム王子38が今年4月に新型コロナウイルスに感染していたことが明らかになった王室筋がBBCに語った英王室では3月下旬にウィリアム王子の父ウェールズ公チャールズ皇太子71の感染が判明しており王子は同じ頃にウイルス検査で陽性と判定されたとみられるウィリアム王子の感染を最初に報じた英紙ザサンによると王子は国民を不安にさせないよう感染を公表しなかった王子は色々と重要なことが起きている中で誰にも心配をかけたくなかったため誰にも陽性判定を伝えなかったと同紙は報じた王室専属の医師が王子の治療にあたった王子は英政府の新型ウイルス対策ガイドラインに従いノーフォーク州サンドリンガムのエリザベス女王の保有地にある邸宅アンマーホールで隔離に入っていたという■公式コメントは拒否BBCのジョニーダイモンド王室担当編集委員は王子の感染が公表されなかった背景について国内の警戒ムードを高めたくなかったという王子側の意図を反映した可能性があるとしたまた王室がプライバシーを保とうとしたこともあるとした公爵一家の公務を管理するケンジントン宮殿側は公式なコメントは拒否した報道によるとウィリアム王子は感染が判明した4月に電話やビデオを使ったリモート公務を14件こなした4月上旬王子は妻のケンブリッジ公爵夫人キャサリン妃と共にイングランド北西部バーンリーにある小学校に通う社会生活の維持に不可欠な仕事をしている親を持つ子どもたちとビデオ通話をしたチャールズ皇太子は3月にウイルス検査で陽性と判定され7日間の自主隔離を行った症状は軽かった新型コロナウイルス特集■感染対策      基本情報1分で解説 新型コロナウイルスについて知っておくべきこと    予防方法 正しい手の洗い方    なぜ外出を控えるのか 家にいることで人の命を助けられる    社会的距離とは 2メートルってどれくらい  感染対策に必要な距離    感染したか判断するには 具合が悪いんだけどもしかして新型ウイルス 感染を判断する方法とは    心の健康解説 新型コロナウイルス心の健康はどう守る   英語記事 Prince William contracted Covid19 in Aprilc BBC News
