title,category,text
財布913円? プラダHPで誤表示,国内, プラダ公式オンラインストアにて全ての商品の値段が格安になる不具合が発生しています11日11時現在秋冬新作の財布は913円ショルダーバッグは2409円スニーカーは1045円とまるでスーパーマーケットの衣料品売り場です 驚がくの値引き率ですが実際に購入はできるのでしょうかプラダジャパンに取材しました プラダジャパンによれば10日23時ごろより誤った価格が表示されており原因を確認中ですすでに注文が寄せられていますが誤った価格での提供となるため全てキャンセル対応となるとのこと ストアの利用規約にもお客様が注文した本商品の価格に誤りがあった場合本サイト上に表示された本商品の価格にエラーがあった場合を含みますは注文を拒否できるとの記載があり表示通りの“激安特価”での購入はできませんねとらぼ
洋服の青山など160店舗閉店へ,経済, 洋服の青山などを展開する青山商事は11日全店舗の2割にあたる約160店を2022年3月末までに閉める計画を明らかにした400人程度の希望退職も募集する方針コロナ禍によるスーツ需要の低迷で業績が悪化しておりコスト削減を進める 同社によると当初は85店前後が閉店対象だったがコロナ禍の影響が長引きさらに75店ほどを追加した同社は複数ブランドの店舗を運営しているが閉店するのは洋服の青山が多いという 店舗の見直しと合わせ同社で初めての希望退職も募る対象は4062歳の正社員らで400人程度募集期間は12月14日から来年2月19日まで全社員の1割にあたる規模という朝日新聞社
東京都 新たに317人が感染,科学, 東京都内で11日新型コロナウイルスの感染者が新たに317人確認されたことがわかった1日の感染者数が300人を超えるのは8月20日339人以来約3カ月ぶりとなるまた人工呼吸器か体外式膜型人工肺ECMOエクモを使用とする都基準の重症者数は前日から5人増えて38人だった 感染者317人を年代別に見ると30代68人20代61人40代58人50代43人と続いた65歳以上の高齢者は40人だった 小池百合子知事は報道陣に対し年末年始に向けて色んな集まる機会もあろうかと思うそこで感染の拡大がリスクとなる可能性があるので改めて防ごう重症化 守ろう高齢者を軸にぜひ意識した行動をお願いしたいと語った朝日新聞社
警官感染 南魚沼署90人待機へ,国内, 新潟県の花角英世知事は11日県警の警察官12人が新たに新型コロナウイルスに感染したことを明らかにした知事はクラスター感染者集団との認識を示した 県警によると12人はいずれも南魚沼署南魚沼市の署員感染が広がっていることに伴い県警は交番勤務を含む署所属の警察官約90人全員を自宅待機とし代わりに県警本部から約15人を派遣する 感染した署員は9日に陽性が分かった20代男性署員が所属する地域課が中心男女32人が濃厚接触者として検査を受けこのうち12人が陽性約10人が陰性だった結果が分かっていない署員が約10人おり感染者数がさらに増える可能性がある朝日新聞社
光浦靖子 独身に負い目感じる,エンタメ,お笑いそして文筆の世界でそれぞれ活躍しこれまで仕事を第一に考えてきたというお二人読者から寄せられた結婚に対するホンネの数々を眺めながらシングルならではの不安や楽しさ将来設計にまで話はおよび──構成平林理恵 撮影藤澤靖子      関連記事幸せそれとも不幸せ 既婚とシングル女性たちのホンネ赤裸々アンケート子育て中の妹と同居して気づいたこと光浦 実は私この4月からカナダに語学留学する予定だったんです部屋を解約して荷物をトランクルームに預けあとは飛行機に乗るだけ――のはずがコロナの影響で留学そのものが中止に住む家がなくなってしまい妹家族のところに転がり込んでまさかの居候生活を送っていました辛酸 外出自粛期間中ずっと光浦 ええ家から出られない生活も初めてだし甥っ子や姪っ子も一緒だったものでなんだかずっと興奮状態のまま2ヵ月半があっという間に過ぎちゃった辛酸 私もウラジオストクやロンドンへの取材旅行が取りやめになりぽっかり時間が空いたんですねそれで近所の公園で鳩と戯れて過ごしましたどの鳩と鳩がカップルなのか考えたりしてその公園は自宅のすぐ近くなんですがいままで忙しくてゆっくり歩く時間もなかったなって光浦 ああいろいろ考えますよねなんかね子育てに追われる妹を見ていたら私は24時間まるまる自分の時間なのにそのわりにインプットが少ないという事実に気づいて反省したいままで自堕落な人間だったなもったいなかったなって辛酸 私はこれまで仕事依存症っぽかったなと思い知らされることになんだか地球の怒りみたいなものを感じて地球にいいことができたらいいなと考えるようにもなりました光浦 お互いすごい心境の変化があったんだね笑子どもの次は孫の問題が辛酸 私がアンケートで気になった回答は息子夫婦孫3人と同居中ワイワイガヤガヤ生きていると強く感じる71歳パート孫の存在って大きいらしくて孫がいないとおばあさん同士の会話で立場が弱いという話をよく聞くんですよ光浦 孫かー産んでる産んでない問題の子どもからいるいない問題の孫へと移っていくんだ辛酸 そう孫を比べ合う埼玉政財界人チャリティ歌謡祭という番組があるじゃないですか埼玉の紅白歌合戦ともいわれている光浦 何それ笑辛酸 埼玉県内の会社の社長とか知事とかが出てきて歌を歌うんですけど必ずみんな孫を連れてくるんですよこんな孫がいますみたいな感じで自慢する光浦 お宝だ辛酸 だから同級生が次々に子どもを産んだときと同じように寂しく感じる時期がまた来るのかもしれない光浦 自分が産んだ子が孫を産むっていいなあ赤ちゃんを2度も抱っこできるんだ私は子どもが大好きなもんでね居候中お隣さんの赤ちゃんに微笑まれるだけで癒やされるよ辛酸 猫よりもいいですか光浦 うんずっといい笑ねえあの都市伝説知ってます 独身の人は死ぬとき子どもを産んでいたら私の人生どうなっていたんだろうと必ず後悔するっていう辛酸 ひどい呪いですね光浦 恐ろしいでしょうでも人間は死ぬとき自分の人生を肯定しないとやっていられない生き物だから人生これでよかったと思うんだって脳科学の本に書いてあった誰がこんなヘンなこと言い出したんだろうか辛酸 台湾や中国でも未婚のまま亡くなった人を死後に結婚させる風習がありますよね冥婚というそうやって魂を鎮める光浦 へええ辛酸 未婚で死ぬと成仏できないって勝手に恐れられてる笑光浦 独身の人生楽しかったわって言って死んだかもしれないのにね
兵庫で70人が感染 過去最多,地域,兵庫県は11日新たに70人の新型コロナウイルス感染が確認されたと発表しました1日に確認された感染者数としては過去最多です新たな感染者は神戸市で17人西宮市で11人姫路市で9人尼崎市で6人明石市で1人その他県内で26人となっています兵庫県内で確認された感染者は計3666人となります兵庫県は独自の警戒レベルを最も深刻な感染拡大期2に引き上げ対策を強化する方針です関西テレビ
CAPCOM 攻撃受け情報漏えいか,国内, 企業の機密情報を盗んで金銭を要求するサイバー犯罪集団が大手ゲーム会社カプコン大阪市中央区にサイバー攻撃を仕掛け同社の内部情報や個人情報とみられる大量の文書をインターネット上に公開したことが関係者への取材で判明したグループは仮想通貨暗号資産を要求し日本時間の11日午前8時までに連絡するよう求めていた相談を受けた大阪府警が情報収集を進めている 関係者によるとグループはRAGNAR LOCKERラグナロッカーと名乗っているカプコンのネットワークに攻撃を仕掛け同社の顧客や従業員の個人情報業務上の情報などを含む約1テラバイトのデータを入手したとする声明を9日にネット上で発表仮想通貨の支払いを求め取引に応じればデータをすべて消去するとしていた 11日には特定のソフトなどを使わないとアクセスできないダークウェブ上にカプコンの内部情報とするデータを公開毎日新聞はサイバー犯罪に詳しい立命館大の上原哲太郎教授サイバーセキュリティーに依頼しデータの一部を入手した データは会社の売り上げや給与に関する記録関係者のパスポート画像や社内のメールなどとみられるグループはカプコンは我々との取引に応じなかったとする声明も発表公開した情報は一部だけだとして引き続き交渉に応じるよう求めている カプコンは4日第三者からの不正アクセスで社内のメールシステムなどに障害が出たとホームページで発表していた同社は取材にまだ調査中で現時点では顧客情報の漏えいは確認されていない不正アクセスについては府警に相談していると説明している 近年サイバー犯罪グループが身代金要求型のウイルスランサムウエアなどを使って企業の機密情報を不正に入手し対価として多額の金銭を要求するケースが世界で相次いでいる堀祐馬森口沙織
羽生九段が入院 PCR検査陰性,エンタメ, 読売新聞社と日本将棋連盟は11日福島市で1213日に開催予定だった第33期竜王戦七番勝負第4局について挑戦者の羽生善治九段が体調不良を訴えたため延期することを決定した七番勝負は2627日に鹿児島県指宿市で行われる第5局を第4局として続行する 羽生九段は今月78日に行われた京都市の仁和寺での第3局を終え東京都内の自宅に帰った9日夜389度の発熱があったため病院で診察を受けた1011日も診察治療を受けたが熱が下がりきらず入院することになった これを受け読売新聞社と日本将棋連盟は規定に基づき竜王戦委員会を開き対局の延期を決め豊島将之竜王の了解も得た 羽生九段の発熱の原因は特定に至っていないが新型コロナウイルスのPCR検査インフルエンザの検査とも陰性だった 羽生善治九段のコメントこの度は私自身の体調管理の不行届きにより竜王戦の対局延期の事態を招き豊島竜王主催者特別協賛協賛の各社対局場の設営に御尽力を頂いている関係者の皆様多くの将棋ファンの皆様に多大な御迷惑をおかけしてしまい深くお詫び申し上げますしっかりと療養をして一刻も早く万全の態勢で将棋を指せるように最善を尽くします誠に申し訳ありません
顔写真など3万件流出か 慶大,国内, 慶応大は11日までに学内の情報システムに対して不正アクセスがあったと明らかにした盗まれた教職員のIDやパスワードを使って侵入され学生の顔写真など個人情報約3万件が流出した可能性があるという1日付で学内に対応チームを設置した 大学の調査によると今年89月にかけて不正アクセスがあり湘南藤沢キャンパス神奈川県藤沢市で管理していた個人情報が狙われた流出したとみられるのは学生の氏名学部顔写真履修履歴のほか教員の氏名住所など計約3万件に上る 慶応大は関係者に深くおわびし再発防止に努めるとしている
小学生感染 学校に中傷の電話,国内, 山形市は10日市内の小学生の男児が新たに新型コロナウイルスに感染したと発表した7日以降に感染が確認された30代の男女2人の同居家族で県内の累計感染者は89人現在の入院者数は7人となった 市によると男児は7日に37度台の発熱があり9日のPCR検査で陽性と判明村山地方の感染症指定医療機関に入院したが症状は軽いという 男児は6日まで小学校に登校していたが市は感染対策が徹底されていたため学校関係者に濃厚接触者はいないとしている一方親族3人が新たに濃厚接触者と判断され10日にPCR検査を受けたという 市によると男児の通う小学校は9日から休校しているが学校にどのクラスか教えろ隠しているのかといった詮索せんさくや中傷の電話が複数あったという市の担当者は関係者への差別や誹謗ひぼう中傷は絶対に控えてほしいと呼びかけている西田理人朝日新聞社
運転免許証 スマホ搭載を検討,国内, 加藤勝信官房長官は11日の記者会見で運転免許証をスマートフォンに搭載する方向で検討することを明らかにした 加藤氏は運転免許証のデジタル化が国民の利便性の向上につながるよう警察庁をはじめ関係機関の間でさらに検討が行われる研究を進めていってもらいたいと語った 政府はマイナンバーカードの機能をスマートフォンに搭載させる方針マイナンバーカードと運転免許証の一体化についても検討を進めている 
キスマイ千賀健永 コロナ感染,エンタメ, 人気グループKisMyFt2の千賀健永29が新型コロナウイルスに感染したと所属するジャニーズ事務所が11日公式サイトで発表した 公式サイトでは弊社所属タレント千賀健永KisMyFt2が新型コロナウイルスに感染していることを確認いたしましたのでご報告申し上げますとし倦怠感や発熱はなかったものの11月8日より嗅覚に異変を感じていたことからPCR検査を実施しましたところ11月10日に陽性であることが確認されましたと感染発覚までの経緯を説明今後につきましては保健所のご指導により発症日である11月8日から10日間を目安に療養しながら経過観察することとなりましたとしている KisMyFt2メンバー並びに担当マネージャーにつきましては千賀の新型コロナウイルス感染の報告を受けまして昨日PCR検査を実施した結果全員陰性でありかつ濃厚接触者にも該当しておりませんでしたと報告保健所のご指導に基づき濃厚接触者の特定を行いましたが弊社所属タレント並びに社員に該当するものはおりませんでしたまた千賀は発症後社屋及び関連施設への立ち入りもないことから所属タレントの活動や事業活動につきましては感染予防対策を講じながら従来通り継続させていただきますとコメント 弊社関係者以外に濃厚接触者が確認された場合には個別に状況をお伝えし保健所の指示を仰いでいただきますよう漏れなくご連絡してまいりますとし弊社におきましてはお客様や関係者の皆様所属タレントそして従業員の安全を最優先に感染防止対策を講じてまいります基本的ではございますが対策として有効なマスクの着用や手洗いアルコール消毒を徹底しながらテレワークや時差出勤による対策や密を避けるなどできることを継続し安全の確保に努めてまいりますと記した この度は皆様にご心配とご迷惑をおかけいたしますこと心よりお詫び申し上げます何卒ご理解の程よろしくお願い申し上げますとしている
藤川引退 JFKは俺たちの誇り,スポーツ, 阪神藤川球児引退試合2020年11月10日 甲子園 JFKとして藤川球児投手40とともにかつて阪神を支えた久保田智之氏39とジェフウィリアムス氏48が盟友の引退に向けて感謝のメッセージを送った 久保田智之 同い年ということもありますしいい仲間でありいいライバルであり尊敬できる存在ですねお互いに多くの試合に投げてきたので思い出に残る試合を挙げたらキリがないですが1試合1試合のブルペンで過ごした時間会話の方が印象に残っていますもう1点入ったら楽やなとか今日はあんまり良くない流れだないきたくないなとか笑いそういう他愛のない会話をした日々の方が今は思い出に残っていますね そうJFK呼ばれるのはうれしいですし誇りに思っていますけど球児ジェフに引っ張られて自分がいた2人がいなかったらこうはなっていなかったと思うので本当に感謝ですね とりあえずお疲れ様と言いたいです正直この年齢までやるとは思っていなかったですけどここまで一線で投げてきたことは本当に素晴らしいこと多くのファンの方々がそうであったように投げ続ける球児の存在が自分が頑張るための活力であり誇りでもありました球児に憧れる野球少年は多いのでこれからも一生野球少年たちの憧れであり続けてほしいと思いますし球児は野球を離れることはないと思うけれども野球界のために頑張ってほしいしまた力を貸してほしいです ジェフウィリアムス 球児とはたくさんの思い出があるけれども05年に優勝した時はJFKで1つになって優勝に貢献できたこともあるしみんなで喜びを分かち合えた優勝の瞬間が一番印象深いね 1つではなく彼は素晴らしい能力を持っているけどそれに加えてやっぱり努力をすることいろんなことを吸収すること常にそういう気持ちでやっている会話していて彼から学んだし自分からも彼は学んだと思ういろんなことをやってすごい成績を残したと思う ライバル心はなくお互いに良くなろうという気持ちはあった最初の2年は自分が抑えをしていて05年に岡田さんが来た時に3人いい投手がいるので球児が抑えにと自分の中ではプライドもあったけど冷静に考えると優勝するのが一番なのでそのためには自分が抑えを外れてもチームが勝つならそれでいいとなりました 
ボクシングWBC 異例の新階級,スポーツ,クルーザー級とヘビー級の間に新設 世界ボクシング評議会WBCは新階級を設立したことを発表したクルーザー級とヘビー級の間に新たに設けられる階級名はブリッジャー級7月に妹をジャーマンシェパードから守った6歳の米国人の少年ブリッジャーウォーカー君に由来したもの異例の新階級は注目を集めそうだ 6歳の英雄が新たな階級を生み出したWBCの公式サイトは新階級ブリッジャー級を設立との見出しで詳細を伝えている ブリッジャー級はクルーザー級200ポンド9072キロ以下とヘビー級無差別の間に新たに設立されたもので224ポンド1016キロ以下がリミットとなる 記事ではブリッジャー級を新しく設立すること決めたこの名前は4歳の妹を野性の犬の攻撃から守った6歳の英雄の名前に由来するそう新階級はブリッジャーウォーカーからインスパイアを受けたものであると説明しているWBCは妹を守った勇敢さを称えベルトを贈呈していた ブリッジャー君は今年7月ジャーマンシェパードに襲われそうになった4歳の妹を救った当時の報道では6歳の少年はジャーマンシェパードに飛びついた結果2時間に渡る手術を受け90針以上も縫うことになったという WBCはその勇敢な姿勢に敬意を表しチャンピオンに認定ベルトを贈呈していたという経緯があった 公式サイトの記事によるとWBCはブリッジャー級を正式にランキングに追加11月中にクルーザー級とヘビー級で戦うボクサーたちにこのカテゴリーに入る意思があるかどうかを確認するという 異例の新階級設立重量級の猛者がベルトを奪い合う舞台となることを期待したいTHE ANSWER編集部
2歳衰弱死 母に懲役14年求刑,地域, 去年札幌で当時2歳の池田詩梨ちゃんが衰弱死したとされる事件の裁判保護責任者遺棄致死の罪に問われている母親に懲役14年が求刑されました 札幌の池田莉菜被告は去年娘の詩梨ちゃんに必要な食事や医療を与えず放置して死亡させたとして保護責任者遺棄致死の罪に問われています 11日の裁判で検察は実母である池田被告は詩梨が生きながらえるための最後の命の綱であるのにそれを切り捨てたと厳しく指摘し懲役14年を求刑しました当初検察をまっすぐ見つめていた池田被告でしたが次第にうつむき懲役14年の求刑の際には泣いていました これに対し弁護側は解剖医の話は全ての推定に裏付けがなく自分の経験のみを根拠にしているとし検察の主張する衰弱死は絶対にないと反論池田被告が入浴中詩梨ちゃんは交際相手の藤原一弥被告に腹を踏みつけられるなどして吐き吐いたものをのどに詰まらせて窒息死した可能性もあると無罪を主張しました 最後に裁判長に何か言いたいことはありますかと問われた池田被告はすすり泣きながらこのような結果を招いたのは事実です後悔してもしきれません一生背負っていかなきゃいけないと思っていますと話しました 判決は20日に言い渡されます北海道放送株
任命拒否6人再推薦は排除せず,国内, 日本学術会議事務局幹部は11日午前の衆院内閣委員会で学術会議の会員任命を拒否された6人について再び政府に推薦することは排除されないとの認識を示した一方加藤勝信官房長官は再推薦された場合の対応に関して回答を避けた立憲民主党の今井雅人氏への答弁 今井氏が学術会議会員の補充人事に絡み任命されなかった6人を改めて推薦リストに入れることは排除されないかとただしたのに対し学術会議事務局幹部は排除されていないと応じた 今井氏は政府方針への反対運動を先導する事態を懸念して6人の任命を見送る判断をしていたとの報道についても質問した
45歳で日本一に 吠えた照英,スポーツ,照英さんは昨年45歳にして全日本マスターズ陸上競技選手権大会に出場見事学生時代でも成し得ることができなかった日本一に輝きました再びやり投に挑戦する意欲を抱くきっかけとなったものは  全3回の312も見る――再びやり投に挑戦しようと思ったきっかけは何だったんですか  スポーツ界で活躍されたシニアアスリートを追いかける番組のMCをさせてもらった時そこでやり投を続けている方を取材する機会がありましたスタッフさんから照英さん久々に投げてみませんかと提案され7080歳でも元気に活動されている姿を見て刺激をもらっていたので何十年ぶりかにやりを投げてみたんですそしたら案の定全然ダメで記録も40mちょっと体中が痛くて痛くて笑――それで火がついた  そうですねそれにその記録を計測してくれた方がやり投を教えてくれた高校の恩師だったんですよ情けない姿を見せてしまったことにすいませんでしたとしか言えなくて悔しくて泣いてしまいました 番組のサプライズは大成功でしたが収録後も消化することができずなんでここまで頑張ってきたのに先生の前であんな記録しか出せなくなったのか俺はなにやってんだろうなんで取材する側なんだろうと跳ね返ってきたんですだからもう一回頑張ってみようかなと家族に見せたかった日本一の姿――そこで出場したのが埼玉県のマスターズ埼玉マスターズ陸上競技選手権大会だった そうです収録から半年間ぐらい本気で練習して出場したのが2018年そこで57m74という大会新記録が出せた57mは自分が高校3年生の始めに出したぐらいの記録あいい記録が出たじゃ次は東日本マスターズ陸上競技選手権大会だと自然と目標が見つかったんですそこでも優勝して55m51次は日本一だ と笑 それで昨年の全日本マスターズ2019年全日本マスターズ陸上競技選手権大会群馬に出場して見事日本一になれましたM45クラス57m22大会には大学生の頃に活躍されてた人たちばかりみんなも当時を忘れられなくて出てきているんですよだから嬉しかったですね私はずっとシルバーメダリストでしたから――そこまで突き動かされた原動力はどこにあるんでしょう  もちろん自分の中でNo1を取るという思いが一番でしたがその姿を家族に見せたかったんです妻も私がやり投をしている姿なんて見たことなかったでしょうし子供たちにはやり投をやっていたことさえもまともに話したことがなかったパパはなんでスポーツ番組出てるのと言われちゃうぐらい笑だからチャンピオンになる姿を見せるために群馬まで連れて行ったんです
千人規模感染も 政府に緊張感,国内, 国内の新型コロナウイルス新規感染者数が連日千人規模となり今まさに第3波に入っている吉村洋文大阪府知事様相を呈し始めた政府は10日対策本部会合を開き集中的なPCR検査の実施などクラスター感染者集団対策を一層強化する方針を決定社会経済活動の回復に水を差すような強い措置には踏み込んでいないものの危機感を高めている 10日は感染が急速に拡大している北海道で166人大阪で過去2番目に多い226人東京でも293人の感染者が確認された政府関係者は明らかにフェーズ局面が変わってきた7月末ごろにピークを迎えた再拡大の次の全国的な流行期との認識を示し一般的に感染症がまん延しやすい冬場を前に懸念を深める 対策会合で菅義偉首相は最大限の警戒感を持って対処する必要があると強調クラスター対策の専門家や保健師の広域派遣を例に挙げ今までよりも踏みこんだ対応を実施すると続けワクチンの確保策にも尽力するとしたこの日は北海道の鈴木直道知事とも官邸で会談し感染抑止に向けての連携を確認した 最新の国内のウイルス状況を巡っては政府の感染症対策分科会尾身茂会長が前日の9日急激な感染者増の予兆が出ていると警告尾身氏は今手を打たなければ手遅れになるとして1クラスター対策2情報発信3店舗や職場での感染防止策4空港など水際での対策強化5遺伝子解析の推進の緊急提言をまとめていた 気温の低下が新型コロナに及ぼす影響は明らかになっていないただ西村康稔経済再生担当相によると政府が重視する発症日ベースで見た新規感染者の数も11月に入り北海道を中心に大阪東京愛知で増加し予断を許さない状況 国立感染症研究所の分析はクラスターがこれまでのように接待を伴う飲食店などにとどまらず多様な場所環境で発生しているとの変化を伝えている 福岡でも10日新たに23人のウイルス感染が確認されており分科会は他の地域でもクラスターは起こりうる感染リスクが大きくなる行動は厳に慎んでほしいと呼び掛けている 河合仁志前田倫之
首相 バイデン氏と電話会談へ,国内, 菅首相は米大統領選で勝利を確実にしたバイデン前副大統領と12日にも初の電話会談を行う方向で調整しているバイデン氏に祝意を伝え信頼関係の構築に踏み出したい考えだ 会談では日米同盟の強化を確認する見通しだ首相は自由で開かれたインド太平洋の実現や北朝鮮による日本人拉致問題の解決に向けた協力を呼びかけるとみられる加藤官房長官は11日午前の記者会見で今後しかるべきタイミングで実施すべく調整が行われていると述べた
